CPSC	recall_number	remedy	sold_to	name_of_product	description	manufacturer	sold_exclusively_at	manufactured_in	incidents_injuries	hazard	importer	consumer_contact	units
CPSC	05587	Consumers should immediately stop using the product and contact BJ Alan Co. for a replacement product.	null	null	The products are two hard balls that meant to produce a snapping or popping sound when hit together. Each package contains a pair of blaster balls that are about 1.25-inches in diameter and were sold in assorted colors. They were sold in a blister pack that measured about 6.75-inches by 5-inches, with a UPC number located on the pack of package reading 3826959035.	null	null	China	BJ Alan Co. has received reports of three incidents. One incident resulted in minor burns to fingers.	When the blaster balls are hit together, they can produce a spark that can catch on fire, posing a risk of burn injuries to consumers.	null	null	About 6,600
CPSC	05588	Consumers should immediately stop using the product and contact BJ Alan Co. for a replacement product.	null	null	The products are smoke-producing novelty devices packaged in a 4.5-inch long cylindrical tube. &quot;MAMMOTH SMOKE&quot; is written on the side of the devices in blue and yellow. They were sold in sets with other types of fireworks.	null	null	China	BJ Alan Co. has received two reports of incidents in which the product propelled on ground or exploded. One incident resulted in a minor burn to a consumer's foot.	The device can unexpectedly propel on the ground or unintentionally explode during use, posing a risk of burn injuries to consumers.	null	null	About 3,000
CPSC	05224	Consumers should keep this product out of the reach of children and return it to the store where it was purchased or contact NBTY for information on receiving a refund or replacement.	null	null	The Nature's Bounty and Natural Wealth brand multivitamins have lot number 60835-06 written on the label. The recalled vitamins were sold in containers of 100 caplets. The containers are both clear with white caps. They are labeled &quot;Nature's Bounty Multi-Day Multivitamin Plus Iron&quot; or &quot;Natural Wealth Daily Vitamin Plus Iron.&quot;	NBTY Inc., of Bohemia, N.Y.	null	United States	None reported.	The vitamins contain iron, but do not have child-resistant packaging as required by federal law. They could cause serious injury or death if ingested by a child.	null	null	About 12,000 bottles
CPSC	05586	Consumers can return the recalled safe-boxes to Perm-a-Store for a free repair or ship the safe-box directly to Perm-a-Store for free using a provided UPS account number.	null	null	These silver Inprint™ safe-boxes are about 8-inches long, 6-inches wide and 12.5-inches high and have &quot;INPRINT&quot; written on the top of the safe. They have serial numbers 04470001 through 04470500 printed on the inside back panel near the battery tray.	Perm-A-Store, of Golden Valley, Minn.	null	China	None reported.	The door on these safe-boxes may not latch properly when closed, possibly giving children and others unauthorized access to a firearm.	null	null	500
CPSC	05222	Parents should take these toys away from children immediately and contact Pok&eacute;mon USA to receive a free replacement toy.	null	null	The recall involves 10 “Pok&eacute;doll” plush toy characters including Pikachu, Minun, Plusle, Skitty, Evee, Munchlax, Mew, Ho-Oh, and Lugia. Pikachu comes in a 12-inch and a 6-inch tall version. All of the other characters are approximately 6-inches tall. They have a sewn-in label that reads: “Pok&eacute;mon Center &copy;2005 Pok&eacute;mon /Nintendo /Creatures/ GAME FREAK” on one side and “2005 MADE IN CHINA” on the other.	null	null	China	None reported.	The stuffing of the toy may contain tips of sewing needles which could pose a puncture hazard.	Pok&eacute;mon USA Inc. of New York, N.Y.	null	About
CPSC	05221	Consumers should stop using these strollers immediately and contact the firm to receive a free repair kit. The kit includes a custom-designed latch that consumers should attach to the stroller's frame to ensure it is properly latched. The repair kit will be available in approximately 1 to 2 weeks.	null	null	null	Graco Children's Products Inc., of Exton, Pa.	null	China	null	These strollers can fail to latch properly and unexpectedly collapse while in use. This can result in broken bones, cuts, bumps, bruises and other injuries to young children riding in the stroller and consumers pushing the stroller.	null	null	About 1 million Duo Tandem and about 143,000 MetroLite strollers
CPSC	05217	Contact your local bicycle retailer to have them inspect your wheels to determine if they are included in the recall. If so, the dealer will provide a free repair. Repair kits will be available in 6 to 8 weeks.	null	null	These 2003 Rolf Prima Vigor and Elan wheels were sold in a front and rear wheel set. Only the rear wheel is affected. &quot;Rolf Prima Vigor&quot; or &quot;Rolf Prima Elan&quot; are written on the wheel rim. The wheel models have serial numbers between 03926 and 06586. The serial number is located on the rim, under the yellow rim tape and is not visible from the outside of the wheel. The tire, tube and rim strip must be removed.	Rolf Prima Inc., of Eugene, Ore.	null	USA	No injuries reported.	The rear wheel freehub mechanism can malfunction causing no resistance when pedaling. The bicycle rider could lose balance, fall and suffer injuries.	null	null	About 870
CPSC	05218	Consumers should immediately stop using their lawn tractor, and contact Tecumseh for assistance in identifying affected units, and free repair if necessary.	null	null	These lawn tractors have a 6-speed MST206-545C Peerless transaxle and a 17.5, 18, 18.5 or 19 horsepower engine. The recalled tractor and transaxle model number information is located below the tractor seat (see Figure 1), and on the transaxle housing (see Figure 2). The recalled transaxles have a date of manufacture code (DOM) between 4275 and 5047 followed by the letter &quot;G&quot;, which can be found on the Transaxle ID Label (see Figure 3).	null	null	null	None reported.	The axles on these lawn tractors can crack and break if subject to extreme load amounts. Should the axle break, it could cause a loss of control and result in injuries to the rider.	null	null	About 21,000
CPSC	05219	null	null	null	null	null	null	null	null	null	null	null	null
CPSC	05585	Club Car will repair the accelerator pedal return assembly on these vehicles free of charge. Vehicle owners should immediately stop using any vehicle if they hear a grinding noise while depressing the accelerator pedal. Most vehicle owners have already been contacted by Club Car about this recall. Any owners not notified should contact their authorized Club Car dealer or call Club Car direct to schedule their free repair.	null	null	The Precedent and Precedent Champion golf cars are branded with the Precedent name on the steering wheel. The affected vehicles have serial number prefixes beginning with the two-letter combination CE, CF, PE, PF, PQ or PR. The serial number is located in the dash compartment on the passenger side of the car.	Club Car, Inc., of Augusta, Ga.	null	null	Club Car has received two reports of Precedent golf cars having difficulty braking due to accelerator pedals sticking. Minor injuries were reported in one incident.	The accelerator pedal can temporarily stick when depressed, resulting in unexpected acceleration or difficulty braking.	null	null	71,700 golf cars
CPSC	05214	Consumers should stop using these exercise benches immediately and contact Nautilus to receive a free repair kit.	null	null	The Nautilus NT 1020 is a free-standing exercise bench typically used for free weight workouts. It is comprised of a white steel base with wheels on one end, with a black vinyl bench and back support. The fronts of both the white base and the black vinyl back support are stamped with the name “Nautilus.” A tag affixed to the reverse side of the back support includes “Distributed by Nautilus/Schwinn Fitness Group Inc.” and “Made in China.” At the bottom of the product’s base, near its wheels, is a sticker that includes the words “Production Date Code” and a 4-digit number. The first three digits of the date code identify the day and the fourth digit identifies the year in which the unit was built. Units included in this recall have Production Date Codes from year 2002 that run between code numbers 1952 and 3652, and Production Date Codes from year 2003 that run between code numbers 0013 and 1903. Benches that are white in color and do not have a Production Date Code sticker also are included in this recall.	Daytona Fitness Co., of Xiamen, China	null	China	Nautilus has received four reports of the main pivot separating from the exercise bench’s main frame. No injuries have been reported.	A weld on the bench frame under the seat can crack and separate from the main frame, allowing the bench to collapse and the user to fall and suffer injuries.	Nautilus Inc., of Vancouver, Wash.	null	About 10,000
CPSC	05215	Consumers should stop using these candles and return them to the place of purchase for a full refund.	null	null	These recalled candles are wax-filled sea urchin shells, and were sold under item number 2659, which is found on the packaging tag. The candles are about 2.5-inches in diameter.	null	null	Philippines	There have been four reports of the candles catching fire, but no reports of property damage. No injuries have been reported.	The candles can burn at an excessive height or cause the outer shell to catch fire, posing a potential fire and burn hazard.	Two’s Company Inc., of Mount Vernon, N.Y.	null	About 18,000
CPSC	05216	Consumers should immediately stop using the 9-inch ATV wheels and contact HiPer Technology to receive a replacement wheel center section and or wheel repair, free of charge.	null	null	The recalled 9-inch ATV aftermarket rear wheels have a model number of 0990 YHR. The rear wheels were manufactured from February 15, 2005 through May 2005. The recalled wheel can be used as the rear wheel on ATVs having the following bolt patterns: four bolts on a 110mm circle or four bolts on a 115mm circle. The center section of the wheel is made of aluminum and has eight bolt holes.	HiPer Technology Inc., of Lawrence, Kan.	null	United States.	HiPer has 12 reports of wheel center section breakage and separation.	The aluminum center section of the wheel can come apart causing the tire and rim to unexpectedly separate from the ATV, posing a risk of serious injury if the rider loses control of the vehicle.	null	null	About 875
CPSC	05211	Consumers should immediately stop young children from using these toy chests and contact Pottery Barn Kids to determine if their toy chest lid support needs replacement. Pottery Barn Kids will provide consumers with a free lid support replacement kit.	null	null	This recall includes the Cameron toy chest in model numbers 4825378 (Honey), 6252852 (Espresso) and 4825386 (White). The product name and model number is located on a label affixed to the back of the toy chest. Inside the lid of the toy chest is a blackboard and an extra storage shelf. The toy chests are made of American hardwood frame with veneer panels and measure 40 x 18 x 20&quot; high.	Pottery Barn Kids of San Francisco, Calif.	null	China	No injuries or incidents have been reported.	A problem with the lid support on the toy chest could cause the lid not to stay open, posing the risk of an impact injury to a child's head, fingers or hands.	null	null	About 5,800
CPSC	05210	Consumers should stop using the recalled water scooter immediately and return it to the store where purchased for a full refund.	null	null	The Aqua Water Scooter is a hand-held, battery-powered product used to propel swimmers through the water. The product has either a yellow or red plastic enclosure, a black plastic handle and propeller and a shark face on the front.	null	null	China	CSK has received nine reports of the battery cover and/or the battery package being expelled from the water scooter, including three reports of facial injuries such as lacerations and bruising.	Hydrogen gas can build up in the battery compartment and cause the battery cover and the battery package to forcefully expel from the product, posing a risk of injury to the user or bystanders.&nbsp;&nbsp;	CSK Auto Inc., of Phoenix. Ariz.	null	About 2,200
CPSC	05584	Consumers should immediately stop young children from using these outdoor trunks and contact Pottery Barn Kids to determine if their trunk is included in the recall. Pottery Barn Kids will provide consumers with a replacement trunk or refund.	null	null	This recall involves all Chesapeake Outdoor Trunks. The model number (6512982) is printed on a sticker under the trunk. The trunks are made of tropical hardwood and measure 40 x 19 x 25&quot; high.	null	null	Indonesia	No injuries or incidents have been reported.	A problem with the lid support on the trunk could cause the lid not to stay open, posing the risk of an impact injury to a child's head, fingers or hands.	null	null	About 80
CPSC	05213	Consumers should contact Sears or LG to arrange for a free in-home repair.	null	null	The recalled refrigerators are three-door, 21 to 25 cubic foot units with a bottom freezer. The refrigerators come in titanium, stainless steel, bisque, white or black. Brand names are identified on the door at the top right of the units and the interior data plate. The units have the following model and serial numbers located on the data plate inside the fresh food section of the refrigerator door:	LG Electronics Inc., of Lincolnshire, Ill.	null	South Korea	LG Electronics has received 82 reports of incidents involving a condenser fan motor failure due to a failed capacitor arcing and smoking. There has been smoke damage in a few incidents. There have been no injuries.	null	null	null	About 20,000
CPSC	05207	Consumers should return the candles to the nearest Target store to receive a gift card from Target in the amount of $15, plus applicable state taxes.	null	null	The recalled candles were sold individually wrapped in a ribbon on a plate. This recall also includes candles sold in boxed sets of three candles under the Restore &amp; Restyle brand. The candles are cream in color and were sold in sizes 3-by-3 inches, 3-by-6 inches, 4-by-6 inches and 6-by-6 inches.	Target Corp., Minneapolis, Minn.	null	China	There have been 24 reports of the birch and bark candles catching fire and six reports of property damage. No injuries have been reported.	The birch and bark surrounding the candles can ignite, posing a fire and burn hazard.	null	null	About 256,000
CPSC	05583	Free repair. Contact your Polaris ATV dealer to schedule an appointment for ECM replacement. Polaris has notified registered affected consumers directly about this recall.	null	null	Only select model year Polaris ATVs are part of this recall. The Sportsman ATV model and serial number identification decal is located on the front side of the front radiator covering. The Scrambler 500 ATV model and serial number identification decal is located on top of the front cab cover. The Vehicle Identification Number (VIN), or serial number is also permanently stamped into the left frame rail behind the left front wheel of all Polaris ATVs. Affected units can be verified by comparing the last six digits of the VIN to the serial number range in bold typed below. NOTE: Not all 2004.5 and 2005 model year vehicles are affected. Please review the affected unit table below.	null	null	null	Polaris has received 68 reports of the ECM overheating. No injuries have been reported.	Some 2004.5 and 2005 Model Year Sportsman, Scrambler 500 ATVs, Trail Boss and Magnum 330 ATVs were assembled with possibly defective Electronic Control Modules (ECM) which may fail and overheat. If this were to occur, excessive heat could cause a fire, possibly resulting in serious injury or death.	null	null	About 61,020
CPSC	05203	&nbsp;Consumers should take these teethers away from young children and return the item to Prestige Toy Corp. for a full refund.	null	null	&nbsp;The water-filled teether is bright green or blue with a green and blue plastic butterfly or turtle in the center, which spins around. The spinner contains small beads which produce a rattling sound. They have Style #47447 (butterfly) and #47448 (turtle) written on the packaging.	Prestige Toy Corp., of New York, N.Y.	null	&nbsp;China	&nbsp;Prestige Toy Corp. received one report from a consumer that the spinning component of one of these teethers broke apart, releasing two small beads. No injuries were reported.	The plastic spinner in the center of the teether can break, causing small beads to fall out. This poses a choking hazard to young children.	null	null	&nbsp;About 1,500
CPSC	05204	Consumers should stop using the recalled batteries immediately and contact Battery-Biz&reg; to arrange for a replacement battery, free of charge. After removing the recalled battery for their notebook computer, consumers can continue to use it with the AC power adapter until a replacement battery arrives.	null	null	The recalled lithium ion, Hi-Capacity&reg; brand rechargeable batteries are used with various well-known, brand-name notebook computers. The recalled batteries include those with part numbers B-5301, B-5333, B-5340, B-5341, B-5342, B-5344, B-5345, B-5346, B5461, B-5615, B-5896 or B-5942/LI; the lot numbers 10098, 10198 or 10230; and the date codes listed below. The part number, lot number and date code can be found on the main label, in one of the following combinations:	null	null	null	Battery-Biz&reg; has received six reports of batteries overheating and melting.	An internal short can cause the battery cells to overheat, posing a fire hazard to consumers.	Battery-Biz&reg; Inc., of Newbury Park, Calif.	null	About 10,000
CPSC	05206	Return the recalled fireworks to the store where purchased for a full refund or contact American Promotional Events for instructions.	null	null	The recall involves Bat Out of Hell fireworks with model number CP1129 and Powder House fireworks with model number CP1130. The model number is printed on all four sides of the device above the warning label. These are 1.4g consumer fireworks devices that consist of 16 multiple shots in the shape of a square cube. The name of the product is printed on the packaging, along with the word &quot;TNT.&quot;	null	null	China	None.	These fireworks devices could unexpectedly tip over during use, posing a serious injury hazard to consumers.	American Promotional Events Inc., of Florence, Ala.	null	About 9,000 units
CPSC	05205	The company is out of business and a remedy is no longer available. Please do not use the recalled go-cart if it has not been repaired.	null	null	This recall involves one- and two-seater model Yerf-Dog Spiderbox series go-karts. The go-karts have full suspension and 150cc engines. Date codes and model numbers are located on a plate attached to the engine casing. Date codes and model numbers included in this recall are:	FF Acquisition Wheeled Goods Corp. of West Point, Miss.	null	United States.	The manufacturer has received five reports of the suspension assembly cracking and causing the rider to lose control, including reports of bruises and head and back injuries.	The suspension assembly can crack causing the rider to lose control of the go-kart.	null	null	About 10,000.
CPSC	05582	Consumers stop using the GPS product immediately and contact Belkin for information on receiving a free replacement battery.	null	null	The recall involves Li-Polymer battery packs sold with Belkin Bluetooth™ GPS Navigation System models F8T051 and F8T051-DL. The GPS model number can be found on a label on the bottom of the unit. &quot;Part No.: 300-203712001&quot; and Model No.: AE-8210&quot; are written on the side of the battery.	null	null	China	Belkin reports 15 incidents of batteries overheating and expanding. No injuries or property damage have been reported.	The battery can overheat, expand, and possibly rupture, creating an explosion or fire hazard.	null	null	About 10,300
CPSC	05201	Consumers should stop using the treestand immediately and contact Ameristep Customer Service or any of the retailers to receive information on properly setting up the unit.	null	null	The recalled treestand is the Ameristep Model 9203 Hang-on of the Grizzly Treestand Line. The product is a steel fixed-position treestand that uses a steel chain for attachment to trees and has a camouflage-covered seat.	Tahsin Industrial Corp. USA, of Randolph, N.J.	null	China.	Tahsin received one report in which a person fell from an unknown elevation while using the treestand.	The treestand's bracket can bend if not secured properly by a chain and if weight is applied. This can cause the chain to disengage from the stand, the stand to separate from the tree and the user to fall and suffer serious injuries.	null	null	About 480.
CPSC	05202	Consumers should stop using the compressors immediately and contact DeWALT for the location of the nearest service center to receive a free inspection or repair if necessary.	null	null	Only DeWALT D55143 three-gallon hand-carry oil free air compressors with the following date codes: 200448, 200453, 200502 through 200505, 200508, and 200509 are included in the recall. The date code is printed on the name plate on the rear air tank of the unit. Units marked with an &quot;R&quot; on the end cap of the unit are not included in this recall.	DeWALT Industrial Tool Company, Baltimore, Md.	null	China.	No injuries reported.	Due to a wiring insulation defect, the unit may pose a possible shock hazard.	null	null	About 3,840 units
CPSC	05200	Consumers should return these candles to the place of purchase to receive a refund.	null	null	The recalled candles consist of a glass votive cup surrounded by a silver holder with a standing angel figure attached. Each holder contains an engraved quotation. The angel stands about 3 inches tall. Each candle has a proverb engraved into the metal holder.	null	null	China.	Midwest has received one report of the candle wax catching fire. No injuries or property damage have been reported.	The candles' wax can catch fire, causing a high flame. This can cause nearby combustibles to catch fire and result in burns to consumers.	Midwest Cannon Falls, of Cannon Falls, Minn.	null	About 10,000.
CPSC	05581	Consumers should stop using the bicycle trailers immediately and contact Nashbar for instructions on how to return the product and receive a full refund, plus a $20 gift certificate toward your next purchase.	null	null	The recall involves tandem bicycle trailers manufactured for and sold by Nashbar Direct. The Lil' Shadow is a black single wheel bicycle trailer that attaches to the seat post of full size adult bicycles. The bicycle trailer is a curved steel mast with a seat, pedals and handlebar for a small child. The child can help propel the bicycle/trailer combination by means of a chain driven freewheel sprocket on the bicycle trailer's wheel. Every bicycle trailer has a serial number located at the bottom bracket. Bicycle trailers affected have serial numbers PC4F001 through PC4F300.	null	null	Taiwan	Nashbar has received eight reports of misassembled hitch mechanisms. No injuries have been reported.	The bicycle trailers can become unstable when changing directions due to incorrectly assembled hitch mechanisms, posing a risk of injury to the riders.	Nashbar Direct, of Canfield, Ohio	null	300
CPSC	05199	Consumers should stop using the recalled fishing poles and contact Shakespeare Fishing Tackle for information on receiving a free replacement fishing kit.	null	null	The recalled Shakespeare&reg; brand fishing kits feature the following characters: TAZ&reg; (Tazmanian Devil&reg;), Tweety&reg;, Mucha Lucha&reg; and Spider-Man&reg;. Other fishing kits feature Fishing Heroes™, sold with a silver-colored badge; Kids Kits™, sold with tackle boxes; and Shark™ and Dolphin™ Kits, which have reels in the shape of a shark or dolphin. The fishing kits have brightly colored red and yellow fishing rods, and &quot;Shakespeare&quot; is written on the reels. Fishing kits with purple, blue and pink rods are not included in this recall. Certain translucent red and yellow and metallic-colored red rods also are not included in this recall.	null	null	China	The firm has not received any reports of complaints related to this product. This voluntary recall is being conducted to prevent any possibility of injury or illness.	The paint on the rods of these fishing poles contains lead. Lead is toxic if ingested by young children and can cause adverse health effects.	null	null	About 438,000
CPSC	05199	Consumers should stop using the recalled fishing poles and contact Shakespeare Fishing Tackle for information on receiving a free replacement fishing kit.	null	null	The recalled Shakespeare&reg; brand fishing kits feature the following characters: TAZ&reg; (Tazmanian Devil&reg;), Tweety&reg;, Mucha Lucha&reg; and Spider-Man&reg;. Other fishing kits feature Fishing Heroes™, sold with a silver-colored badge; Kids Kits™, sold with tackle boxes; and Shark™ and Dolphin™ Kits, which have reels in the shape of a shark or dolphin. The fishing kits have brightly colored red and yellow fishing rods, and &quot;Shakespeare&quot; is written on the reels. Fishing kits with purple, blue and pink rods are not included in this recall. Certain translucent red and yellow and metallic-colored red rods also are not included in this recall.	null	null	China	The firm has not received any reports of complaints related to this product. This voluntary recall is being conducted to prevent any possibility of injury or illness.	The paint on the rods of these fishing poles contains lead. Lead is toxic if ingested by young children and can cause adverse health effects.	null	null	About 438,000
CPSC	05198	Consumers should stop using the product immediately and disable the jumper by cutting a one-inch portion of the yellow strap just below the clamp. To receive a free replacement product, consumers should cut out the white warning label from the canvas seat and mail the label and the one-inch portion of the yellow strap to Kids II at 555 North Point Center East, Suite 600, Alpharetta, GA 30022.	null	null	The recalled baby jumpers have a blue canvas seat, yellow straps, and a blue plastic clamp that attaches to an interior door frame. The recalled unit is the Bright Starts Jammin' Jumper with model number 6607, which can be found on a white warning label on the canvas seat. The words &quot;Bright Starts&quot; are printed on the plastic housing that contains the clamp. The jumper was sold with a play mat that makes sounds when the child jumps on it.	null	null	China	Kids II has received 49 reports of the clamp breaking with 12 reported injuries, including a possible mild concussion, skinned knee, cut lips, and bumps and bruises.	The plastic clamp that attaches the jumper seat to a door frame can break, which can cause the unit to fall to the floor. This poses an injury hazard to young children.	null	null	29,300
