organization	recall_number	recall_date	recall_url	manufacturers	product_types	descriptions	upcs	hazards	countries
CPSC	13280	2013-09-11	http://www.cpsc.gov/en/Recalls/2013/Visonic-Recalls-Amber-Personal-Emergency-Response-System-Kits/	Visonic	Personal Protection	Visonic Amber Classic and Amber SelectX Personal Emergency Response System (PERS) Kit, catalog number 0-7425 and serial numbers 0408044281 through 4410052723, catalog number 0-100729 and serial numbers 2308600299 through 3013079617		Safety Equipment Malfunction	Israel
CPSC	13281	2013-09-11	http://www.cpsc.gov/en/Recalls/2013/Cambridge-Metal-and-Plastics-Recalls-Motorcycle-Training-Wheels/	Cambridge Metals & Plastics	Motorcycles/Dirt Bikes (Off-Road) & Accessories	Cambridge Metal & Plastics Motorcycle Training Wheels, for youth motorcycle models Honda XR/CRF 50, Kawasaki KDX/Suzuki JR 50, KTM 50, Suzuki DRZ 70, Yamaha PW50 and Yamaha TTR 50		Crash	United States
CPSC	13282	2013-09-11	http://www.cpsc.gov/en/Recalls/2013/LLBean-Recalls-Boat-Carts-for-Canoes-and-Kayaks/	L.L.Bean	Sports Equipment & Accessories	L.L.Bean Deluxe Packaway Boat Carts for Canoes and Kayaks,		Injury	China
CPSC	13284	2013-09-11	http://www.cpsc.gov/en/Recalls/2013/Hachette-Book-Group-Recalls-Childrens-Books/	Hachette Book Group	Books & Accessories	Hachette Book Group Children’s Books titled "Count my Kisses, 1, 2, 3", ISBN: 978-0-316-13354-8, and "Red, Green, Blue, I Love You", ISBN: 978-0-316-13353-1		Choking	China
CPSC	13279	2013-09-10	http://www.cpsc.gov/en/Recalls/2013/Be-Amazing-Toys-Recalls-Monster-Science-Growing-Spiders/	Be Amazing! Toys	Toy Balls	Be Amazing! Toys Monster Science Growing Spiders Water-absorbing polymer balls, model number 7280 and model number 7289,		Ingestion	China
CPSC	13278	2013-09-10	http://www.cpsc.gov/en/Recalls/2013/Eco-Novelty-Recalls-Jumbo-Size-and-Jumbo-Multipurpose-Cosmo-Beads-Toys/	Eco-Novelty	Toy Balls	Eco-Novelty Jumbo Size and Jumbo Multipurpose Cosmo Water-absorbing polymer beads, sold as single packets of beads in various colors		Ingestion	China
CPSC	13277	2013-09-06	http://www.cpsc.gov/en/Recalls/2013/Crosman-Recalls-Air-Pistols/	Crosman	Air Rifles/Air Guns/BB Guns & Accessories	Crosman Semi-automatic Style Air Pistols, model numbers C21, C31 and 9-C31BRM with serial numbers beginning with 12J, 12K, 12L, 12M, 13A, 13B or 13C		Explosion/Projectiles	Taiwan
CPSC	13275	2013-09-03	http://www.cpsc.gov/en/Recalls/2013/Target-Recalls-Threshold-Floor-Lamps/	L.L.Bean,null	Stairs/Steps,null	LL Bean Step Stools, Item number 281655.,null		Fall,null	China
CPSC	13274	2013-08-29	http://www.cpsc.gov/en/Recalls/2013/Build-A-Bear-Recalls-Stuffed-Animal-Toy/	Build-A-Bear Workshop	Toy Animals Stuffed/Not Stuffed	Build-A-Bear sulley stuffed monster, tracking label ending with 4384 or 4385 for USA and 4378 for Canada can be found on a sewn in label on the backside of the leg of the stuffed monster.		Choking	China
CPSC	13272	2013-08-28	http://www.cpsc.gov/en/Recalls/2013/Baby-Jogger-Recalls-Car-Seat-Adaptors-for-Strollers/	Baby Jogger	Infant Carriers/Slings/Backpacks/Car Seats	Baby Jogger Car Seat Adaptors for Strollers, model numbers: BJ90121 for single strollers, BJ90221 for double strollers, BJ90321 for select/versa strollers.		Fall	China
CPSC	13273	2013-08-28	http://www.cpsc.gov/en/Recalls/2013/Vitamix-Recalls-64-Ounce-Low-Profile-Blender-Container/	Vita-Mix	laceration,null	Vitamix 64-ounce Low Profile Blender Container. Blade part number 103208 A, Vitamix blender models 7500, Professional Series 750.		laceration	United States
CPSC	13271	2013-08-21	http://www.cpsc.gov/en/Recalls/2013/HALO-SleepSacks-Wearable-Blankets-Recalled/	Jiaxing Huayan	Blankets	HALO SleepSack wearable blankets with GPU numbers 2701, 2781, 2886, 2887, 3007, 3035 and 3142.		Choking	China
CPSC	13270	2013-08-20	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=13270	Klever Kids	Babies and Kids,null	Klever Kids children’s 100% Pima cotton pajama sets and nightgowns sold in boys and girls sizes 2 through 8,null		Burn,null	Peru
CPSC	13268	2013-08-20	http://www.cpsc.gov/en/Recalls/2013/Apple-Park-Recalls-Childrens-Loungewear/	Apple Park	Clothing (Children)	Apple Park children’s 96% viscose and 4% spandex two-piece sets from the Apple Park Bamboo Loungewear Collection, children's size 6 months through size 4.,null,null		Burn,null	China
CPSC	13269	2013-08-20	http://www.cpsc.gov/en/Recalls/2013/Wilton-Industries-Recalls-Chefmate-Tea-Kettles/	Wilton	Coffeemakers/Coffeepots/Teapots/Kettles	Wilton Industries Chefmate 2-quart tea kettles with a black enamel finish and a solid black resin handle.		Burn	Indonesia
CPSC	13749	2013-08-15	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2013/JP-Boden-Recalls-Childrens-Sandals/	JP Boden	Shoes, Sandals & Boots	JP Boden Children’s Sandals		Fall	Vietnam
CPSC	13264	2013-08-15	http://www.cpsc.gov/en/Recalls/2013/Char-Broil-Recalls-Patio-Bistro-Gas-Grills/	Char-Broil	Grills, Smokers & Accessories	Char-Broil Recalls Patio Bistro Gas Grills		Fire & Fire-Related Burn	China
CPSC	13265	2013-08-15	http://www.cpsc.gov/en/Recalls/2013/Philips-Lighting-Recalls-Endura-and-Ambient-LED-Bulbs/	Philips Lighting	Light Bulbs	Philips Lighting LED bulb, EnduraLED 12W A19 2700k Dimmable 120V, AmbientLED 12.5W A19 2700k Dimmable 120V.	46677	Electrocution/Electric Shock	China
CPSC	13266	2013-08-15	http://www.cpsc.gov/en/Recalls/2013/IKEA-Recalls-Junior-Beds/	IKEA	Beds/Cots	IKEA KRITTER and SNIGLAR Junior Beds. 600.904.70 for the KRITTER and 500.871.66 for the SNIGLAR. Supplier number 15361 (KRITTER) and 19740 or 18157 (SNIGLAR).		Laceration	Poland
CPSC	13267	2013-08-15	http://www.cpsc.gov/en/Recalls/2013/Applica-Consumer-Products-Reannounces-Black--Decker-Spacemaker-Coffeemaker-Recall/	Applica Consumer	Coffeemakers/Coffeepots/Teapots/Kettles	Applica Consumer Products Black & Decker Spacemaker Coffeemaker, 12-Cup Programmable Under-the-Cabinet		Burn - Not Fire-Related	China
CPSC	13747	2013-08-14	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2013/John-Deere-Recalls-Compact-Utility-Tractors/	Deere & Company (John Deere)	Tractors	John Deere 1000, 2000, 3000 and 4000 February 2013 and July 2013 Compact Utility Tractors		Crash	United States
CPSC	13748	2013-08-14	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2013/LTD-Commodities-Recalls-Microwave-Crisper-Pans/	Qingyuan Omeda Metallic Products Co. LTD,null	Ovens/Stoves/Ranges/Microwaves	Microwave Crisper Pan with Lid,null	707569068464	Fire & Fire-Related Burn	China
CPSC	13263	2013-08-13	http://www.cpsc.gov/en/Recalls/2013/Husqvarna-Recalls-Closed-Course-Competition-Off-Road-Motorcycles/	Husqvarna	Motorcycles/Dirt Bikes (Off-Road) & Accessories	Husqvarna 2013 models CR125, WR125, WR250 and WR300 of Husqvarna closed course/competition motorcycles,null		Crash	Italy
CPSC	13260	2013-08-08	http://www.cpsc.gov/en/Recalls/2013/Big-Lots-Recalls-Tabletop-Torches/	Big Lots	Torches	Big Lots DC12-21111 , DC10-20160 Tabletop Torches		Fire & Fire-Related Burn	India
CPSC	13261	2013-08-08	http://www.cpsc.gov/en/Recalls/2013/Giant-Bicycle-Recalls-XtC-Bicycles-and-Seatposts/	Giant Manufacturing	Bicycle & Accessories	Giant Bicycles 2013 model year Giant XTC, Contact SLR Advanced SL 29er 0 and 29er 1 series bicycles		Fall	Taiwan
CPSC	13262	2013-08-08	http://www.cpsc.gov/en/Recalls/2013/Holgate-Toys-Recalls-Playmat-Sets/	Holgate Toys	Toy Miscellaneous	Holgate Toys Playmat Sets	0 7789028735 4	Choking	United States
CPSC	13259	2013-08-07	http://www.cpsc.gov/en/Recalls/2013/Toysmith-Recalls-Toy-Light-Up-Frogs-and-Ducks/	Toysmith	Toy Animals Stuffed/Not Stuffed	Toysmith light-up soft plastic toy frogs and ducks	2424 5159	Choking	China
CPSC	13257	2013-08-06	http://www.cpsc.gov/en/Recalls/2013/Gerber-Recalls-Uppercut-Knife-and-Sheath-Sets/	Gerber Legendary Blades	Knives/Cutters/Blades/Sheaths	Gerber Uppercut Fixed Blade Knife and Sheath Sets		Laceration	China
CPSC	13258	2013-08-06	http://www.cpsc.gov/en/Recalls/2013/Sleepharmony-Pink-Youth-Beds-Recalled-by-Glideaway/	Glideaway Bed Carriage Manufacturing	Beds/Cots	Sleepharmony Metal heart-shaped designs on both the footboard and headboard.Youth Beds in pink		Lead	China
CPSC	13745	2013-08-01	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2013/Cannondale-Recalls-Slice-RS-Bikes/	Cycling Sports Group	Bicycles & Accessories	2013 model year Cannondale triathlon and time trial Slice RS bikes		Fall	China
CPSC	13255	2013-07-31	http://www.cpsc.gov/en/Recalls/2013/Far-East-Brokers-Recalls-Ladybug-themed-Kids-Outdoor-Furniture/	Far East Brokers and Consultants	Chairs, Stools & Benches	December/2012. Distributed by: Far East Brokers and Consultants, Inc Leisure Ways Brands Ladybug-themed Kids’ Outdoor Furniture		Lead	China
CPSC	13254	2013-07-31	http://www.cpsc.gov/en/Recalls/2013/Be-Amazing-Toys-Recalls-Monster-Science-and-Super-Star-Science-Colossal-Water-Balls/	Be Amazing! Toys	Toy Balls	Be Amazing! Toys Monster Science and Super Star Science Colossal Water Balls		Ingestion	China
CPSC	13256	2013-07-31	http://www.cpsc.gov/en/Recalls/2013/JP-Boden-Recalls-Kensington-Court-High-Heel-Shoes/	JP Boden	Shoes, Sandals & Boots	JP Boden Kensington Court High Heel Shoes		Fall	Spain
CPSC	13253	2013-07-30	http://www.cpsc.gov/en/Recalls/2013/Bistro-Chairs-Recalled-by-Midwest-CBK/	Midwest-CBK	Chairs, Stools & Benches	Midwest-CBK Bistro Chairs	7384490413	Fall	China
CPSC	13744	2013-07-25	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2013/Lennox-Hearth-Products-Recalls-Fireplaces/	Lennox	Fireplaces & Accessories	Lennox Hearth Products and Superior gas or propane fireplaces		Fire & Fire-Related Burn	United States
CPSC	13248	2013-07-25	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=13248	Viking Range	Refrigerators	Viking Range November 2005 through October 2012 built-in 36-inch wide refrigerators with bottom freezers		Injury	United States
CPSC	13249	2013-07-25	http://www.cpsc.gov/en/Recalls/2013/Home-Depot-Recalls-Soleil-Portable-Fan-Heaters/	Shanghai Limach	Fans	Home Depot LH-707 Soleil Portable Fan Heaters		Fire & Fire-Related Burn	China
CPSC	13250	2013-07-25	http://www.cpsc.gov/en/Recalls/2013/Krankcycle-by-Matrix-with-Detachable-Seat-Recalled-by-Johnson-Health-Tech/	Johnson Health Tech	Exercise Machines/Equipment	son Health Tech North America KRANKcycle by Matrix with Detachable Seat,null		Fall	Taiwan
CPSC	13743 	2013-07-24	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2013/Big-Lots-Recalls-Holiday-Pathway-Lights/	Big Lots	Lights (Seasonal)	Big Lots 10-piece-set J.S.N.Y. # 4482 Holiday Pathway Lights	0-84358-04482-4	Fire & Fire-Related Burn	China
CPSC	13244	2013-07-23	http://www.cpsc.gov/en/Recalls/2013/Kids-II-Recalls-Baby-Einstein-Activity-Jumpers/	Kids II	Bouncers/Jumpers	Kids II Baby Einstein Musical Motion Activity Jumper		Impact	China
CPSC	13245	2013-07-23	http://www.cpsc.gov/en/Recalls/2013/Nan-Far-Woodworking-Recalls-Rockland-Furniture-Round-Cribs/	Nan Far Woodworking	Cribs	Nan Far Woodworking 343-8314 Rockland Furniture Round Cribs		Entrapment	Taiwan
CPSC	13246	2013-07-23	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=13246	Renaissance Imports	Shoes, Sandals & Boots	Renaissance Imports Autumn Run Girls Gemma II Boots		Laceration	China
CPSC	13247	2013-07-23	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=13247	Fuji Heavy Industries	Generators	Robin America Subaru Portable Gasoline Generators		Fire & Fire-Related Burn	China
CPSC	13242	2013-07-18	http://www.cpsc.gov/en/Recalls/2013/Macys-Recalls-Infants-First-Impressions-Varsity-Jackets/	Macy's	Clothing (Children)	Macy’s Infants’ First Impressions Varsity snap-up jackets with hoods	766360093969	Choking	China
CPSC	13241	2013-07-18	http://www.cpsc.gov/en/Recalls/2013/Masterbuilt-Manufacturing-Recalls-Electric-Smokers/	Masterbuilt	Grills, Smokers & Accessories	Masterbuilt Manufacturing 20070312 or 20070512 Electric Smokehouse Smokers		Fire & Fire-Related Burn	China
CPSC	13238	2013-07-17	http://www.cpsc.gov/en/Recalls/2013/Sears-Reannounces-Recall-of-Kenmore-Dehumidifiers/	LG Electronics	Dehumidifiers	LG manufactured between 2003 and 2005.Kenmore 35-pint,, 50- and 70 dehumidifiers,null		Fire & Fire-Related Burn	China
CPSC	13239	2013-07-17	http://www.cpsc.gov/en/Recalls/2013/Industrial-Revolution-Recalls-LED-Lanterns/	Industrial Revolution	Lights & Accessories	Industrial Revolution UCO Arka A1265 LED Lanterns		Fire & Fire-Related Burn	China
CPSC	13237	2013-07-17	http://www.cpsc.gov/en/Recalls/2013/Boys-Hooded-Jackets-Recalled-by-5-Star-Kids-Apparel/	5 Star Kids Apparel	Clothing (Children)	5 Star Kids Apparel Mecca Boy’s long sleeve hooded jackets		Strangulation	China
CPSC	13240	2013-07-17	http://www.cpsc.gov/en/Recalls/2013/Thermobaby-Bath-Seats-Recalled-by-SCS-Direct/	SCS Direct	Bathtubs & Seats (Baby)	SCS Direct Thermobaby Bath Ring Seats		Drowning	France
CPSC	13238	2013-07-17	http://www.cpsc.gov/en/Recalls/2013/Sears-Reannounces-Recall-of-Kenmore-Dehumidifiers/	LG Electronics	Dehumidifiers	LG manufactured between 2003 and 2005.Kenmore 35-pint,, 50- and 70 dehumidifiers,null		Fire & Fire-Related Burn	China
CPSC	13239	2013-07-17	http://www.cpsc.gov/en/Recalls/2013/Industrial-Revolution-Recalls-LED-Lanterns/	Industrial Revolution	Lights & Accessories	Industrial Revolution UCO Arka A1265 LED Lanterns		Fire & Fire-Related Burn	China
CPSC	13237	2013-07-17	http://www.cpsc.gov/en/Recalls/2013/Boys-Hooded-Jackets-Recalled-by-5-Star-Kids-Apparel/	5 Star Kids Apparel	Clothing (Children)	5 Star Kids Apparel Mecca Boy’s long sleeve hooded jackets		Strangulation	China
CPSC	13240	2013-07-17	http://www.cpsc.gov/en/Recalls/2013/Thermobaby-Bath-Seats-Recalled-by-SCS-Direct/	SCS Direct	Bathtubs & Seats (Baby)	SCS Direct Thermobaby Bath Ring Seats		Drowning	France
CPSC	13236	2013-07-11	http://www.cpsc.gov/en/Recalls/2013/Hollis-Recalls-Digital-Dive-Computers/	Pelagic Pressure Systems	Scuba Diving/Water Activity Equipment	Hollis DG03 Digital Dive Computers		Drowning	United States
CPSC	13742	2013-07-11	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=13742	Global Furniture	Chairs, Stools & Benches	Staples five-wheel base Office Chairs		Fall	China
CPSC	13233	2013-07-03	http://www.cpsc.gov/en/Recalls/2013/Angels-Touch-Collections-Recalls-Butterfly-and-Shell-Lamps/	Angel’s Touch Collections	Lamps	Angel’s Touch Collections Butterfly Clip Light (SKU# 416593) and Shell Clip Light (SKU #416955) lamps		Electrocution/Electric Shock	China
CPSC	13234	2013-07-03	http://www.cpsc.gov/en/Recalls/2013/Toys-R-Us-Recalls-Remote-Controlled-Helicopters/	Toys R Us	Toy Helicopters	Toys R Us Fast Lane FA-005 Radio Control 3-Channel with Gyro Stabilizer and Charger Helicopters		Fire & Fire-Related Burn	China
CPSC	13235	2013-07-03	http://www.cpsc.gov/en/Recalls/2013/Outdoor-Solutions-Hammock-and-Sunshade-Recalled-by-H-E-B/	HEB	Hammocks	H-E-B Outdoor Solutions Hammock with Sunshade	4122088609	Fall	China
CPSC	13741	2013-07-02	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2013/Yamaha-Recalls-Big-Bear-ATVs/	Yamaha	All Terrain Vehicles (ATVs)	2012 model numbers YFM40FBBGR, YFM40FBBL and YFM40FGBGR Yamaha Big Bear 400 ATVs,null		Crash	United States
CPSC	13230	2013-06-27	http://www.cpsc.gov/en/Recalls/2013/Swan-Creek-Recalls-Loose-Votive-Candles/	Swan Creek	Candles & Candle Holders	Swan Creek Loose Votive Candles		Fire & Fire-Related Burn	United States
CPSC	13229	2013-06-27	http://www.cpsc.gov/en/Recalls/2013/Fred-Friends-Recalls-Baby-Rattles/	Easy Aces	Rattles	Fred & Friends Buff Baby baby rattle	728987019098	Choking	China
CPSC	13231	2013-06-27	http://www.cpsc.gov/en/Recalls/2013/Stile-Products-Recalls-Tern-Folding-Bicycles/	Alu Maga Industrial	Bicycle & Accessories	Stile Products Eclipse S11i and Verge S11i, X10, X20 and X30h Tern Folding Bicycles		Fall	
CPSC	13226	2013-06-25	http://www.cpsc.gov/en/Recalls/2013/Genlyte-Recalls-Capri-Track-Lighting/	Tai Sing	Lights & Accessories	Genlyte Capri track lighting		injury	Hong Kong
CPSC	13225	2013-06-25	http://www.cpsc.gov/en/Recalls/2013/Bel-Air-Lighting-Recalls-Chandeliers/	Bel Air Lighting	Lights & Accessories	Bel Air Lighting February 2007 to June 2010 Portfolio 256047, Transglobe 2579 EBG nine-light Chandeliers.		Injury	China
CPSC	13227	2013-06-25	http://www.cpsc.gov/en/Recalls/2013/Horizon-Hobby-Recalls-Batteries/	Kiel Technology	Adapter/Power Supply/Charger/Battery	Horizon Hobby Dynamite 7.4 volt LiPo, 180 mAh, 2S, 20C Li-Po and DYN1429 batteries		Fire & Fire-Related Burn	China
CPSC	13222	2013-06-20	http://www.cpsc.gov/en/Recalls/2013/Kichler-Lighting-Recalls-Chandeliers/	The L.D. Kichler,null	Lights & Accessories	Kichler Lighting PORTFOLIO Aztec 34330 nine-light chandeliers		Injury	China
CPSC	13223	2013-06-20	http://www.cpsc.gov/en/Recalls/2013/Paddywax-Recalls-Fragrance-Diffusers/	Paddywax	Air Fresheners/Aromatherapy	ECO and RELISH Paddywax Fragrance diffusers		Aspiration	United States
CPSC	13220	2013-06-19	http://www.cpsc.gov/en/Recalls/2013/Axis-Arrows-Recalled-by-Easton/	Easton Technical	Archery	Axis, Focused Energy, Easton arrows size 300 batch 13169686, size 340 batch 13170143, size 400 batch 13170142 and size 500 batch 13169487		Injury	United States
CPSC	13221	2013-06-19	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=13221	Kolcraft	Strollers & Accessories	June 2010 and September 2011 - JL031, JL032, JL034, JL035 or JL036 Jeep Liberty Strollers		Explosion/Projectiles	China
CPSC	13739	2013-06-19	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2013/Best-Buy-Recalls-ATG-Replacement-Batteries-for-the-MacBook-Pro/	BTI Corp	Computer Equipment	Best Buy MC-MBOOK13B, MC-BOOK13W MacBook Pro ATG lithium-ion replacement batteries		Fire & Fire-Related Burn	China
CPSC	13740	2013-06-19	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2013/Polaris-Recalls-Ranger-Off-Highway-Vehicles/	Polaris Industries,null	Utility, Off-Road Vehicles/Golf Carts	2011 Dual Overhead Cam, 900 EFI Polaris Ranger RZR XP 900 recreational off-highway vehicles		Burn	United States
CPSC	13217	2013-06-18	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=13217	BeBeLove	Bathtubs & Seats (Baby)	BeBeLove E-Zee ,Made in Taiwan and BBL Baby Bath Seats		Drowning	Taiwan
CPSC	13218	2013-06-18	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=13218	Liberty,null	Bathtubs & Seats (Baby)	Buy Buy Baby Idea Baby and Made in Italy Baby Bath Seats		Drowning	Italy
CPSC	13219	2013-06-18	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=13219	Chelsea & Scott	Bathtubs & Seats (Baby)	Chelsea & Scott Idea Baby One Step Ahead and Made in Italy Baby Bath Seats		Drowning	Italy
CPSC	13737	2013-06-17	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2013/Sams-Club-Recalls-Outdoor-Seating-Groups/	Heshan Camis Industrial	Patio Furniture	Sam’s Club Sunbrella Metro 6-piece and Montero 4-piece Outdoor Seating Groups		Fall	China
CPSC	13738	2013-06-17	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2013/Hammacher-Schlemmer-Recalls-Teak-Shower-Stools/	Hammacher Schlemmer	Chairs, Stools & Benches,null	Hammacher Schlemmer 02D8092 Teak Shower Stools	06301370069	Fall	China
CPSC	13737	2013-06-17	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2013/Sams-Club-Recalls-Outdoor-Seating-Groups/	Heshan Camis Industrial	Patio Furniture	Sam’s Club Sunbrella Metro 6-piece and Montero 4-piece Outdoor Seating Groups		Fall	China
CPSC	13738	2013-06-17	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2013/Hammacher-Schlemmer-Recalls-Teak-Shower-Stools/	Hammacher Schlemmer	Chairs, Stools & Benches,null	Hammacher Schlemmer 02D8092 Teak Shower Stools	06301370069	Fall	China
CPSC	13216	2013-06-14	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=13216	Amazon.com	Baby Seats (Non-Bath)	Baby Matters LLC Nap Nanny and Chill Infant Recliners		Entrapment	United States
CPSC	13215	2013-06-13	http://www.cpsc.gov/en/Recalls/2013/Stride-Rite-Recalls-Girls-Sandals/	Stride Rite	Shoes, Sandals & Boots	StrideRite CG40723 J, CG40725 Joanna girl’s sandals		Choking	China
CPSC	13214	2013-06-13	http://www.cpsc.gov/en/Recalls/2013/Texsport-Recalls-Cedar-Lake-Heater-Cookers/	Texsport	Kerosene/Propane/Wood Heaters	Texsport Product number 14219 Cedar Lake Heater/Cookers		Fire & Fire-Related Burn	China
CPSC	13213	2013-06-12	http://www.cpsc.gov/en/Recalls/2013/Salsa-Cycles-Recalls-Bicycle-Forks/	CWI	Bicycles & Accessories	Salsa Cycles 2011 02 21, 2011 04 11, 2011 06 14 and 2011 09 09 Salsa Vaya bicycle forks		Fall	Taiwan
CPSC	13736	2013-06-07	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2013/Adobe-Recalls-High-Powered-Magnets-Distributed-with-Promotional-Materials-Package/	Adobe	Magnets	Adobe "With Adobe Connect it all just clicks" High-Powered Magnets		Magnet Ingestion	China
CPSC	13210	2013-06-06	http://cs.cpsc.gov/ConceptDemo/SearchCPSC.aspx?SearchCategory=Recalls%20News%20Releases&category=995,1098,990,991,992,993,994,1031&autodisplay=true&query=13210	IKEA	Dishes/Glassware/Eating Utensils	IKEA LYDA Jumbo Coffee/Tea Cups		Burn - Not Fire-Related	Thailand
CPSC	13209	2013-06-06	http://www.cpsc.gov/en/Recalls/2013/Gerber-Recalls-Machetes-with-Stitched-Sheaths/	Gerber Legendary Blades	Knives/Cutters/Blades/Sheaths	31-000698, 31-001507, 31-002289, 30-000601 Gerber Machetes with Stitched Sheaths		Laceration	China
CPSC	13211	2013-06-06	http://www.cpsc.gov/en/Recalls/2013/Philips-Recalls-Metal-Halide-Lamps/	Philips	Lamps	November 2012 and March 2013 Philips 150W ALTO M142/0, Hg, USA 3A-1 and MHC150/U/MP/4K ALTO industrial metal halide lamps	46677 37724	Fire & Fire-Related Burn	United States
CPSC	13212	2013-06-06	http://www.cpsc.gov/en/Recalls/2013/Country-Life-Recalls-Target-Mins-Iron-Supplement-Bottles/	Country Life	Medicine Containers	Country Life Target-Mins 25 mg 90 tablets Iron Supplement Bottles	015794024927	Poisoning	United States
CPSC	13207	2013-06-05	http://www.cpsc.gov/en/Recalls/2013/DiveAlert-Emergency-Signaling-Devices-Recalled-by-Ideations/	Ideations DiveAlert	Scuba Diving/Water Activity Equipment	DiveAlert DA2, DP2 or DV2 DiveAlert and DiveAlert PLUS scuba dive signaling devices		Drowning	United States
CPSC	13205	2013-05-30	http://www.cpsc.gov/en/Recalls/2013/Teavana-Recalls-Glass-Tea-Tumblers/	Shaanxi Cathay	Sippy/Tumbler Cups,null	Akira Travel RED, Clouds Travel CPR, Flourish Iced Tea Glasses, Harmony Glass Double Wall, Izmir Travel, Lotus Travel, Rhapsody Glass Double Wall, Six Dragons Double Wall, Symphony Double Wall, Tamira Travel BLU Glass Tea Tumblers	10005650, 10006051	Burn - Not Fire-Related	China
CPSC	13201	2013-05-29	http://www.cpsc.gov/en/Recalls/2013/HM-Reannounces-Recall-of-Childrens-Water-Bottles/	H&M	Bottles (Sports/Water/Thermos)	2012 H&M Children’s Water Bottles		Choking	Italy
CPSC	13202	2013-05-29	http://www.cpsc.gov/en/Recalls/2013/Vive-La-Fete-Recalls-Childrens-Pajamas/	Vive La Fete	Clothing (Children)	HSH158BPL, HSH159BPL Vive La Fete Children’s Pajamas		Fire & Fire-Related Burn	El Salvador
CPSC	13203	2013-05-29	http://www.cpsc.gov/en/Recalls/2013/KTM-North-America-Recalls-KTM-and-Husaberg-Motorcycles/	KTM	Motorcycles/Dirt Bikes (Off-Road) & Accessories	2013 KTM 85 SX, 85 SXS, 125 SX, 150 SX, 150 XC, 200 XC-W, 250 SX, 250 XC, 250 XC-W, 300 XC and 300 XC-W Motorcycles		Vehicle Accident	Austria
CPSC	13204	2013-05-29	http://www.cpsc.gov/en/Recalls/2013/Pottery-Barn-Kids-Recalls-Sweet-Lambie-Crib-Bumpers/	Pure Mars	Crib Bumpers	Pottery Barn Kids Sweet Lambie Crib Bumpers		Entanglement	China
CPSC	13735	2013-05-29	http://www.cpsc.gov/en/Recalls/Recall-Alerts/2013/Hammary-Furniture-Recalls-Dining-Side-Chairs/	Hammary Furniture	Chairs, Stools & Benches	Hammary Furniture Dining Side Chairs		Fall	Philippines
CPSC	13200	2013-05-28	http://www.cpsc.gov/en/Recalls/2013/GNU-Snowboard-Bindings-Recalled-by-Mervin-Manufacturing/	Mervin Manufacturing	Skiing/Snowboarding	Mervin GNU Snowboard Bindings		Fall	Slovakia
CPSC	13198	2013-05-23	http://www.cpsc.gov/en/Recalls/2013/Nourison-Recalls-Rugs/	Nourison	Carpets/Rugs	Nourison-branded I-CANDI collection polyester shag rugs		Fire & Fire-Related Burn	China
