organization	recall_number	recall_date	recall_url	description	summary
USDA	fe1ac38886	2014-02-18	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-014-2013-release	Nueske's Applewood Smoked Meats, a Wittenberg, Wis. establishment, is recalling approximately 4,454 pounds of liver paté products because they are misbranded in that they contain the milk protein sodium caseinate, a known allergen, which is not declared on the product label.	Wisconsin Firm Recalls Liver Paté Due to Misbranding and An Undeclared Allergen
USDA	555ccac01a	2014-02-18	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-013-2013-release	Isabella Foods, an El Paso, Texas establishment, is recalling approximately 685 pounds of tamale products because of misbranding and undeclared allergens. The products contain wheat or soy, known allergens which are not declared on the label.	Texas Firm Recalls Chicken and Pork Tamale Products Due to Misbranding and Undeclared Allergens
USDA	348871db8f	2014-02-18	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-011-2013-release	BPT Products Inc., a Sunland Park, N.M. establishment, is recalling approximately 213 pounds of beef jerky products that contain wheat, a known allergen, which is not declared on the product label.	New Mexico Firm Recalls Beef Jerky Products Due to Misbranding and An Undeclared Allergen
USDA	31f376b3c0	2014-02-18	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-007-2013-release	Stallings Head Cheese Co., Inc., a Houston, Texas establishment, is recalling 4,700 pounds of hog head cheese that may be contaminated with Salmonella.	Texas Firm Recalls Ready-To-Eat Pork Products Due to Possible Salmonella Contamination
USDA	5303ef6b38	2014-02-18	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-013-2014-update-021814	FSIS decided to reissue the recall release first issued on Feb. 8, 2014 and updated on February 14, 2014 with additional information.	California Firm Recalls Unwholesome Meat Products Produced Without the Benefit of Full Inspection
USDA	b8720c87b1	2014-03-07	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-018-2014-release	George’s Inc., a Springdale, Ark. establishment, is recalling approximately 29,200 pounds of seasoned raw, chicken breast strips due to misbranding and an undeclared allergen, soy.	Arkansas Firm Recalls Chicken Products Due To Misbranding and Undeclared Allergen
USDA	70c2e7c267	2014-02-27	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-017-2014-release	Sun Hing Foods, Inc., the Importer of Record, a South San Francisco, Calif., establishment, is recalling approximately 1,282 pounds of Canadian liver pâté products which were produced without the benefit of full USDA inspection	California Firm Recalls Canadian Liver Pâté Products Produced Without Import Inspection
USDA	cc578a4dce	2014-02-23	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-016-2014-release	Santa Maria Foods Corporation, a Rexdale, Ontario, Canada establishment, is recalling approximately 8,895 pounds of various meat products, because they were imported without the benefit of full USDA inspection. Without full inspection, a remote possibility of adverse health consequences exists.	Canadian Firm Recalls Various Meat Products Without Import Inspection
USDA	2461d2a54d	2014-02-18	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-025-2013-expanded	Rich Products Corporation, a Buffalo, N.Y. firm, is expanding its recall of various heat treated, not fully cooked frozen mini meals and snack items because they may be contaminated with E. coli O121.	New York Firm Recalls Additional Frozen Mini Meals And Other Snack Products Due To Possible E. Coli O121 Contamination
USDA	1a4bd28e24	2014-02-18	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-025-2013-release	Rich Products Corporation, a Buffalo, NY firm, is recalling approximately 196,222 pounds of frozen chicken quesadilla and various other heat treated, not fully cooked frozen mini meals and snack items because they may be contaminated with E. coli O121.	New York Firm Recalls Frozen Mini Quesadilla, Pizza, Cheese Steak and Other Snack Products Due To Possible E. Coli O121 Contamination
USDA	190c3daba5	2014-02-18	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-024-2013-release	Triple J Family Farms, a Buffalo Lake, Minn. establishment, is recalling approximately 15,270 pounds of bone-in ribeye products because the vertebral column may not have been completely removed, which is not compliant with regulations that require the removal of vertebral column in cattle 30 months of age or older.	Minnesota Firm Recalls Bone-In Ribeye That May Contain Specified Risk Materials
USDA	fe1ac38886	2014-02-18	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-014-2013-release	Nueske's Applewood Smoked Meats, a Wittenberg, Wis. establishment, is recalling approximately 4,454 pounds of liver paté products because they are misbranded in that they contain the milk protein sodium caseinate, a known allergen, which is not declared on the product label.	Wisconsin Firm Recalls Liver Paté Due to Misbranding and An Undeclared Allergen
USDA	555ccac01a	2014-02-18	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-013-2013-release	Isabella Foods, an El Paso, Texas establishment, is recalling approximately 685 pounds of tamale products because of misbranding and undeclared allergens. The products contain wheat or soy, known allergens which are not declared on the label.	Texas Firm Recalls Chicken and Pork Tamale Products Due to Misbranding and Undeclared Allergens
USDA	348871db8f	2014-02-18	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-011-2013-release	BPT Products Inc., a Sunland Park, N.M. establishment, is recalling approximately 213 pounds of beef jerky products that contain wheat, a known allergen, which is not declared on the product label.	New Mexico Firm Recalls Beef Jerky Products Due to Misbranding and An Undeclared Allergen
USDA	31f376b3c0	2014-02-18	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-007-2013-release	Stallings Head Cheese Co., Inc., a Houston, Texas establishment, is recalling 4,700 pounds of hog head cheese that may be contaminated with Salmonella.	Texas Firm Recalls Ready-To-Eat Pork Products Due to Possible Salmonella Contamination
USDA	5303ef6b38	2014-02-18	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-013-2014-update-021814	FSIS decided to reissue the recall release first issued on Feb. 8, 2014 and updated on February 14, 2014 with additional information.	California Firm Recalls Unwholesome Meat Products Produced Without the Benefit of Full Inspection
USDA	0f4765850a	2014-02-15	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-015-2014-release	Nutriom LLC, a Lacey, Wash., establishment, is recalling approximately 226,710 pounds of processed egg products that may be contaminated with Salmonella.	Washington Firm Recalls Dried Egg Products Due to Possible Salmonella Contamination
USDA	021168cce9	2014-02-14	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-028-2013-expanded	Manda Packing Company, a Baker, La., establishment, is expanding its recall to include approximately 468,000 pounds of roast beef, ham, turkey breast, tasso pork, ham shanks, hog head cheese, corned beef, and pastrami.	Louisiana Firm Recalls Cooked Meat, Poultry, and Deli Products Due To Possible Listeria Monocytogenes Contamination
USDA	f928dc8a0d	2014-02-14	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-028-2013-release	Manda Packing Company, a Baker, La., establishment, is recalling approximately 20,166 pounds of cooked roast beef deli meat due to possible contamination with Listeria monocytogenes.	Louisiana Firm Recalls Roast Beef Deli Meat Due To Possible Listeria Monocytogenes Contamination
USDA	8f11165e9a	2014-02-14	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-027-2013-release	Formosa Food Company, Inc., a Hull, Iowa, establishment is recalling approximately 1,133 pounds of a pork jerky product because of misbranding and an undeclared allergen, wheat, which is not declared on the label.	Iowa Firm Recalls Pork Jerky Product Due to Misbranding and Undeclared Allergen
USDA	6d5a77f110	2014-02-14	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-026-2013-release	Tyson Foods Inc., a Russellville, Ark. establishment, is recalling approximately 127,000 lbs. of uncooked breaded chicken tenderloins and uncooked chicken tenderloin fritter products because of an undeclared allergen and misbranding. The product contains soy, a known allergen not declared on the label.	Arkansas Firm Recalls Breaded Chicken Products Due To Undeclared Allergen And Misbranding
USDA	db5341b842	2014-02-12	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-014-2014-release	Prime Snax Incorporated, a Salt Lake City, Utah establishment, is recalling approximately 90,000 pounds of beef jerky products because of misbranding and an undeclared allergen.	Utah Firm Recalls Various Beef Jerky Products Due to Misbranding and Undeclared Allergen
USDA	4978e2e408	2014-02-09	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-012-2014-release	Wyoming Authentic Products, LLC, a Cody, Wyo. establishment, is recalling approximately 365 pounds of beef jerky products due to a processing deviation.	Wyoming Firm Recalls Beef Jerky Products Due to a Processing Deviation
USDA	d49b5d5066	2014-02-09	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-013-2014-release	Rancho Feeding Corporation, a Petaluma, Calif. establishment, is recalling approximately 8,742,700 pounds, because it processed diseased and unsound animals and carried out these activities without the benefit or full benefit of federal inspection.	California Firm Recalls Unwholesome Meat Products Produced Without the Benefit of Full Inspection
USDA	f702d546a6	2014-02-05	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-011-2014-release	ConAgra Foods, a Milton, Pa. establishment, is recalling approximately 54,673 pounds of chicken noodle soup products due to misbranding and undeclared allergens.	Pennsylvania Firm Recalls Chicken Noodle Soup Due to Misbranding and Undeclared Allergens
USDA	9b15aa5f4a	2014-02-04	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-010-2014-release	PFP Enterprises, a Fort Worth, Texas, establishment, is recalling approximately 15,865 pounds of beef products because they may be contaminated with E. coli O103, E. coli O111, E. coli O121, E. coli O145, E. coli O26 and E. coli O45.	Texas Firm Recalls Beef Products Due To Possible E. Coli Contamination
USDA	368c03e944	2014-02-01	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-009-2014-release	House of Smoke, Inc., a Fort Lupton, Colo. establishment, is recalling approximately 144,000 pounds of meat and poultry products (including bratwurst / brotwurst, fully cooked sausage-type products, and raw fresh products) because of an undeclared allergen (soy lecithin) and misbranding.	Colorado Firm Recalls Various Meat Products Due To Soy Lecithin
USDA	2e7cde892e	2014-01-31	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-008-2014-release	Walker's Food Products Co., a North Kansas City, Mo., establishment, is recalling approximately 2,200 pounds of chicken salad products because of misbranding and an undeclared allergen. The products are formulated with a soy protein concentrate, a known allergen, which was not properly declared on the labels.	Missouri Firm Recalls Chicken Salad Products Due To Misbranding and Undeclared Allergen
USDA	8fa58411c6	2014-01-27	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-007-2014-release	George's Inc., a Springdale, Ark. Establishment, is recalling approximately 1.25 million pounds of frozen par-fried chicken tender products because of misbranding and an undeclared allergen, wheat.	Arkansas Firm Recalls Frozen Chicken Products Due To Misbranding and Undeclared Allergens
USDA	34b04e1fcf	2014-01-19	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/rc-006-2014-release	Truitt Brothers Inc., an East Bernstadt, Ky. establishment is recalling approximately 1.77 million pounds of shelf-stable pasta and ground beef products because of misbranding and an undeclared allergen.	Kentucky Firm Recalls Cheeseburger Mac Products Due To Misbranding and Undeclared Allergens
USDA	b3089844bb	2014-01-18	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-005-2014-release	Gusto Packing, a Montgomery, Ill. establishment, is recalling approximately 67,113 pounds of sliced, spiral ham products due to concerns about possible Listeria monocytogenes contamination.	Illinois Firm Recalls Sliced Spiral Hams for Possible Listeria Contamination
USDA	da0661cfae	2014-01-17	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-004-2014-release	European Meat Products Inc., a Lakewood, Colo., establishment, is recalling approximately 130,000 pounds of fresh and ready-to-eat beef and pork products because of misbranding and an undeclared allergen.	Colorado Firm Recalls Beef and Pork Products Due To Misbranding and Undeclared Allergen
USDA	da0661cfae	2014-01-17	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-004-2014-release	European Meat Products Inc., a Lakewood, Colo., establishment, is recalling approximately 130,000 pounds of fresh and ready-to-eat beef and pork products because of misbranding and an undeclared allergen.	Colorado Firm Recalls Beef and Pork Products Due To Misbranding and Undeclared Allergen
USDA	f23de370aa	2014-01-16	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-002-2014-release-expansion	Rancho Feeding Corporation, a Petaluma, Calif., establishment, is expanding its recall to include an additional 420 pounds of product that was produced without the benefit of full federal inspection	California Firm Recalls Various Meat Products Produced Without The Benefit Of Full Inspection
USDA	ed4ce5ea02	2014-01-15	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-003-2014-release	Cloverdale Foods Co., a Mandan, N.D., establishment, is recalling approximately 2,664 pounds of beef franks due to misbranding and an undeclared allergen, milk.	North Dakota Firm Recalls Beef Franks Due To Misbranding and Undeclared Allergen
USDA	e51a981256	2014-01-13	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-002-2014-release	Rancho Feeding Corporation, a Petaluma, Calif., establishment, is recalling approximately 41,683 pounds of various meat products because they were produced without the benefit of full federal inspection.	California Firm Recalls Various Meat Products Produced Without the Benefit of Full Inspection
USDA	620e6e3b8e	2014-01-11	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2014/recall-001-2014-release	Tyson Foods, Inc. a Sedalia, Mo., establishment, is recalling approximately 33,840 pounds of mechanically separated chicken products that may be contaminated with a Salmonella Heidelberg strain.	Missouri Firm Recalls Mechanically Separated Chicken Products Due To Possible Salmonella Heidelberg Contamination
USDA	b61e9ded02	2013-12-24	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-075-2013-release-expansion	Palama Holdings, LLC, a Kapolei, HI establishment, is expanding its recall of raw, frozen marinated chicken products to approximately 24,784 pounds because they may have experienced temperature abuse in the distribution chain.	Hawaii Firm Recalls Additional Frozen, Raw Chicken Products Due To Possible Temperature Abuse
USDA	bb4ff85982	2013-12-21	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-075-2013-release	Palama Holdings, LLC, a Kapolei, HI establishment, is recalling approximately 3,600 pounds of raw, frozen marinated chicken products because they may have experienced temperature abuse in the distribution chain.	Hawaii Firm Recalls Frozen, Raw Chicken Products Due To Possible Temperature Abuse
USDA	8812eaefed	2013-12-20	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-074-2013-release	Lee Bros. Foodservice Inc., a San Jose, Calif., establishment, is recalling 740 pounds of sausage products that may be contaminated with Staphylococcus aureus enterotoxin.	California Firm Recalls Dried Sausage Products Due To Possible Contamination With Staphylococcus Aureus Enterotoxin
USDA	1d0f488289	2013-12-16	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-073-2013-expansion-2	Yauk's Specialty Meats, a Windsor, Colo., establishment, is expanding its recall to include an additional product that was produced under insanitary conditions. The products being recalled today are in addition to the various meat and poultry products that were recalled on Dec. 9 and Dec. 12, 2013.	Colorado Firm Recalls Meat and Poultry Products That Were Produced Under Insanitary Conditions
USDA	089c03f437	2013-12-13	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-073-2013-release-expansion	Yauk’s Specialty Meats, a Windsor, Colo., establishment, is expanding its recall to include an undetermined amount of various meat and poultry products that were produced under insanitary conditions.	Colorado Firm Recalls Meat And Poultry Products That Were Produced Under Insanitary Conditions
USDA	d9868fa896	2013-12-10	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-073-2013-release	Yauk’s Specialty Meats, a Windsor, Colo., establishment, is recalling approximately 90,000 pounds of various meat and poultry products that were produced under insanitary conditions.	Colorado Firm Recalls Meat And Poultry Products That Were Produced Under Insanitary Conditions
USDA	fa4695911f	2013-12-07	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-072-2013-release	StockPot, Inc., an Everett, Wash. establishment, is recalling 1,864 cases (approximately 22,368 pounds) of chicken noodle soup due to misbranding and an undeclared allergen. The Classic Chicken Noodle Soup product is formulated with wheat, a known allergen.	Washington Firm Recalls Chicken Noodle Soup Due To Misbranding and Undeclared Allergen
USDA	bcfa3604a4	2013-12-07	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-071-2013-release	Santa Maria Foods, a Brampton, Ontario, establishment, is recalling approximately 2,600 pounds of whole boneless ham prosciutto product due to possible contamination with Listeria monocytogenes.	Ontario, Canada Firm Recalls Prosciutto Ham Product For Possible Listeria Monocytogenes Contamination
USDA	71bd338ef6	2013-11-27	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/rnr-070-2013	Mary Ann's Specialty Foods, a Webster City, Iowa, establishment, is recalling approximately 3,536 pounds of Niman Ranch Applewood Smoked Uncured Petite Ham because the establishment number was not included on the label.	Recall Notification Report 070-2013
USDA	2c3af1aaec	2013-11-26	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-069-2013-release	DelMonaco Specialty Foods, a Morgan Hill, Calif. establishment, is recalling approximately 5,616 pounds of Armanino brand Bolognese sauce products because of an undeclared allergen and misbranding	California Firm Recalls Bolognese Sauce Products Due To Undeclared Allergen And Misbranding
USDA	befb865f3b	2013-11-26	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-067-2013-release	Creminelli Fine Meats, LLC, a Salt Lake City, Utah, establishment, is recalling 31 pieces (approximately 101 pounds) of fully-cooked-not-shelf-stable, ready-to-eat pork roast products because they were produced under the wrong Hazard Analysis and Critical Control Point (HACCP) plan and for mislabeling	Utah Firm Recalls Fully-Cooked-Not-Shelf-Stable, Ready-To-Eat Pork Roast Products Produced Under The Wrong Haccp Plan And For Mislabeling
USDA	f4a03ea66f	2013-11-26	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-068-2013-release	Intevation Food Group, LLC, a Plover, Wis., establishment, is recalling approximately 156,924 pounds of frozen chicken fettuccine Alfredo products because of misbranding and an undeclared allergen, egg.	Wisconsin Firm Recalls Frozen Chicken Products Due To Misbranding and Undeclared Allergen
USDA	dcd0324003	2013-11-26	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-066-2013	Fran's Fryers, a Milford, Texas, establishment, is recalling approximately 251 pounds of various raw poultry products because they were produced without the benefit of federal inspection.	Texas Firm Recalls Various Raw Poultry Products Produced Without the Benefit of Inspection
USDA	f199e07413	2013-11-26	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-065-2013-release	Glass Onion Catering, a Richmond, Calif. establishment, is recalling approximately 181,620 pounds of ready-to-eat salads and sandwich wrap products with fully-cooked chicken and ham that may be contaminated with E. coli O157:H7.	California Firm Recalls Grilled Chicken Salad Products Due To Possible E. Coli O157:H7 Contamination
USDA	bb36e8db93	2013-11-26	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/rnr-064-2013	Wycen Foods Inc., a San Leandro, Calif., establishment is recalling approximately 809 pounds of Chinese style chicken sausages, a dried snack food, because they are misbranded and contain monosodium glutamate (MSG), which is not declared on the label.	Recall Notification Report 064-2013
USDA	d7499c7b87	2013-11-26	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-059-2013-expansion-2	Reser's Fine Foods is expanding its recall of chicken, ham and beef products to include all products produced between Oct. 10 and Oct. 25, 2013.	Kansas Firm Recalls Chicken, Ham and Beef Products Due To Potential Listeria Monocytogenes Contamination
USDA	870bb8cc0c	2013-11-26	http://www.fsis.usda.gov/wps/wcm/connect/FSIS-Content/internet/main/topics/recalls-and-public-health-alerts/recall-case-archive/archive/2013/recall-062-2013-expansion	Taylor Farms Maryland, Inc. in Jessup, Md. and Taylor Farms Texas Inc. in Dallas are recalling approximately 22,849 pounds of broccoli salad kit products due to concerns about possible Listeria monocytogenes contamination in the salad dressing	Maryland And Texas Firms Recall Broccoli Salad Kits With Dressing For Possible Listeria Contamination
